project,seed,clusters,score,acc_avg,acc_min,acc_max
commonc-codec,3548,17,0.6927287656235744,0.7794542591452582,0.7286012526096033,0.8130630630630631
commons-cli,3548,26,0.803894297635605,0.8195915409323451,0.65625,0.925
commons-csv,3548,32,0.7973950795947902,0.8361987435026343,0.7222222222222222,1.0
commons-io,3548,40,0.5682652592932538,0.5834342069055227,0.5074074074074074,1.0
commons-lang,3548,28,0.8081475160464512,0.7706870479554342,0.7486842105263158,0.796221322537112
commons-text,3548,55,0.6624046195091772,0.7873399748095623,0.7272727272727273,1.0
google-auto-common,3548,31,0.4128352490421456,0.6286230112725606,0.5,0.8
google-auto-factory,3548,22,0.6786632390745502,0.6122001823702287,0.5070422535211268,1.0
google-auto-service,3548,17,0.0,1.0,1.0,1.0
google-auto-value,3548,41,0.6331343283582089,0.6097898763634806,0.5,0.6808510638297872
gson,3548,40,0.5141302439880638,0.5874081468093921,0.5,0.7464788732394366
jfreechart,3548,28,0.2741878002537456,0.7416410642624466,0.7151051625239006,0.7626050420168067
jodatime,3548,25,0.5911771225892264,0.6469083995447273,0.5950782997762863,0.6671744097486672
scribejava-core,3548,32,0.3426086956521739,0.7562276058522471,0.5,0.9428571428571428
zxing,3548,28,0.7739119893320402,0.8312862693842996,0.8032786885245902,0.8512720156555773
